"","geo","year","value","curr"
"346","fi",2013,1.2546,"EUR"
"347","fr",2013,1.12474,"EUR"
"348","hr",2013,0.657538,"EUR"
"349","hu",2013,173.191,"HUF"
"350","ie",2013,1.12416,"EUR"
"351","is",2013,189.879,"ISK"
"352","it",2013,1.02171,"EUR"
"353","jp",2013,140.38,"JPY"
"354","lt",2013,0.614369,"EUR"
"355","lu",2013,1.2406,"EUR"
"356","lv",2013,0.691866,"EUR"
"357","mk",2013,26.4753,"MKD"
"358","mt",2013,0.80024,"EUR"
"359","nl",2013,1.10606,"EUR"
"360","no",2013,12.5124,"NOK"
"361","pl",2013,2.44176,"PLN"
"362","pt",2013,0.808736,"EUR"
"363","ro",2013,2.22583,"RON"
"364","rs",2013,54.4916,"RSD"
"365","se",2013,11.9143,"SEK"
"366","si",2013,0.818158,"EUR"
"367","sk",2013,0.680576,"EUR"
"368","tr",2013,1.48316,"TRY"
"369","gb",2013,0.963442,"GBP"
"370","us",2013,1.38575,"USD"
"371","al",2012,59.1241,"ALL"
"372","at",2012,1.10196,"EUR"
"373","be",2012,1.11346,"EUR"
"374","bg",2012,0.938311,"BGN"
"375","ch",2012,1.83388,"CHF"
"376","cy",2012,0.957319,"EUR"
"377","cz",2012,18.0096,"CZK"
"378","de",2012,1.0662,"EUR"
"379","dk",2012,10.2444,"DKK"
"380","ee",2012,0.705698,"EUR"
"381","gr",2012,0.927268,"EUR"
"382","es",2012,0.941236,"EUR"
"383","fi",2012,1.23041,"EUR"
"384","fr",2012,1.14347,"EUR"
"385","hr",2012,0.658637,"EUR"
"386","hu",2012,170.137,"HUF"
"387","ie",2012,1.11472,"EUR"
"388","is",2012,185.501,"ISK"
"389","it",2012,1.01268,"EUR"
"390","jp",2012,141.223,"JPY"
"391","lt",2012,0.613052,"EUR"
"392","lu",2012,1.2281,"EUR"
"393","lv",2012,0.685571,"EUR"
"394","mk",2012,25.7373,"MKD"
"395","mt",2012,0.785152,"EUR"
"396","nl",2012,1.11653,"EUR"
"397","no",2012,12.2393,"NOK"
"398","pl",2012,2.43263,"PLN"
"399","pt",2012,0.819916,"EUR"
"400","ro",2012,2.11764,"RON"
"401","rs",2012,51.4413,"RSD"
"402","se",2012,11.7215,"SEK"
"403","si",2012,0.821806,"EUR"
"404","sk",2012,0.683323,"EUR"
"405","tr",2012,1.38124,"TRY"
"406","gb",2012,0.950253,"GBP"
"407","us",2012,1.35434,"USD"
"408","al",2011,58.8632,"ALL"
"409","at",2011,1.11582,"EUR"
"410","be",2011,1.11654,"EUR"
"411","bg",2011,0.940938,"BGN"
"412","ch",2011,1.87563,"CHF"
"413","cy",2011,0.937647,"EUR"
"414","cz",2011,17.9112,"CZK"
"415","de",2011,1.0586,"EUR"
"416","dk",2011,10.0211,"DKK"
"417","ee",2011,0.686637,"EUR"
"418","gr",2011,0.957163,"EUR"
"419","es",2011,0.958459,"EUR"
"420","fi",2011,1.20533,"EUR"
"421","fr",2011,1.12922,"EUR"
"422","hr",2011,0.668465,"EUR"
"423","hu",2011,166.79,"HUF"
"424","ie",2011,1.116,"EUR"
"425","is",2011,181.393,"ISK"
"426","it",2011,1.01826,"EUR"
"427","jp",2011,144.218,"JPY"
"428","lt",2011,0.606539,"EUR"
"429","lu",2011,1.21477,"EUR"
"430","lv",2011,0.669062,"EUR"
"431","mk",2011,25.8892,"MKD"
"432","mt",2011,0.770587,"EUR"
"433","nl",2011,1.12211,"EUR"
"434","no",2011,12.1903,"NOK"
"435","pl",2011,2.41776,"PLN"
"436","pt",2011,0.836262,"EUR"
"437","ro",2011,2.08036,"RON"
"438","rs",2011,48.7515,"RSD"
"439","se",2011,11.8699,"SEK"
"440","si",2011,0.837454,"EUR"
"441","sk",2011,0.679667,"EUR"
"442","tr",2011,1.29674,"TRY"
"443","gb",2011,0.947619,"GBP"
"444","us",2011,1.34214,"USD"
"445","al",2010,58.4027,"ALL"
"446","at",2010,1.11291,"EUR"
"447","be",2010,1.10548,"EUR"
"448","bg",2010,0.894535,"BGN"
"449","ch",2010,1.93732,"CHF"
"450","cy",2010,0.925194,"EUR"
"451","cz",2010,18.0668,"CZK"
"452","de",2010,1.06382,"EUR"
"453","dk",2010,10.0309,"DKK"
"454","ee",2010,0.676707,"EUR"
"455","gr",2010,0.954052,"EUR"
"456","es",2010,0.96059,"EUR"
"457","fi",2010,1.18993,"EUR"
"458","fr",2010,1.12935,"EUR"
"459","hr",2010,0.679359,"EUR"
"460","hu",2010,167.045,"HUF"
"461","ie",2010,1.12257,"EUR"
"462","is",2010,175.595,"ISK"
"463","it",2010,1.02165,"EUR"
"464","jp",2010,147.616,"JPY"
"465","lt",2010,0.595145,"EUR"
"466","lu",2010,1.22318,"EUR"
"467","lv",2010,0.643549,"EUR"
"468","mk",2010,24.751,"MKD"
"469","mt",2010,0.756496,"EUR"
"470","nl",2010,1.12857,"EUR"
"471","no",2010,12.0928,"NOK"
"472","pl",2010,2.38496,"PLN"
"473","pt",2010,0.823421,"EUR"
"474","ro",2010,2.03191,"RON"
"475","rs",2010,46.0304,"RSD"
"476","se",2010,11.9255,"SEK"
"477","si",2010,0.842949,"EUR"
"478","sk",2010,0.663478,"EUR"
"479","tr",2010,1.21614,"TRY"
"480","gb",2010,0.927975,"GBP"
