"","geo","year","values"
"371","nl",2014,99.92
"372","no",2014,97.6
"373","pl",2014,101
"374","pt",2014,100.06
"375","ro",2014,100.51
"376","rs",2014,98.9
"377","se",2014,99.6
"378","si",2014,101.77
"379","sk",2014,100.64
"380","tr",2014,92.7
"381","gb",2014,100.2
"382","us",2014,101.73
"383","at",2013,97.77
"384","be",2013,99.19
"385","bg",2013,102.56
"386","ch",2013,101
"387","cy",2013,103.43
"388","cz",2013,99.8
"389","de",2013,98.5
"390","dk",2013,99.5
"391",NA,2013,99.74
"392","ee",2013,100.29
"393","gr",2013,103.79
"394","es",2013,101.44
"395","fi",2013,98.99
"396","fr",2013,99.57
"397","hr",2013,100.45
"398","hu",2013,100.41
"399","ie",2013,99.9
"400","is",2013,99.59
"401","it",2013,100.5
"402","lt",2013,100.71
"403","lu",2013,99.38
"404","lv",2013,99.9
"405","mk",2013,101.02
"406","mt",2013,100.43
"407","nl",2013,99.65
"408","no",2013,95.9
"409","pl",2013,100.7
"410","pt",2013,100.31
"411","ro",2013,99.57
"412","rs",2013,97.4
"413","se",2013,99.09
"414","si",2013,100.75
"415","sk",2013,100.72
"416","tr",2013,84.88
"417","gb",2013,98.3
"418","us",2013,99.82
"419","at",2012,95.62
"420","be",2012,97.59
"421","bg",2012,101.3
"422","ch",2012,100.8
"423","cy",2012,102.58
"424","cz",2012,98.3
"425","de",2012,96.6
"426","dk",2012,98.9
"427",NA,2012,98.16
"428","ee",2012,96.38
"429","gr",2012,104.05
"430","es",2012,99.26
"431","fi",2012,96.76
"432","fr",2012,98.56
"433","hr",2012,98.29
"434","hu",2012,98.45
"435","ie",2012,99.2
"436","is",2012,96.58
"437","it",2012,99.3
"438","lt",2012,99.38
"439","lu",2012,97.43
"440","lv",2012,99.68
"441","mk",2012,97
"442","mt",2012,99.85
"443","nl",2012,96.59
"444","no",2012,94.1
"445","pl",2012,100.4
"446","pt",2012,99.14
"447","ro",2012,95.31
"448","rs",2012,88.9
"449","se",2012,98.64
"450","si",2012,98.54
"451","sk",2012,99.07
"452","tr",2012,78.56
"453","gb",2012,95.5
"454","us",2012,98.17
"455","at",2011,93.53
"456","be",2011,95.52
"457","bg",2011,99.68
"458","ch",2011,102.2
"459","cy",2011,99.74
"460","cz",2011,94.7
"461","de",2011,94.8
"462","dk",2011,96.8
"463",NA,2011,95.88
"464","ee",2011,92.31
"465","gr",2011,103.07
"466","es",2011,97.48
"467","fi",2011,94
"468","fr",2011,96.39
"469","hr",2011,94.87
"470","hu",2011,93.22
"471","ie",2011,97.4
"472","is",2011,90.32
"473","it",2011,95.8
"474","lt",2011,96.83
"475","lu",2011,94.98
"476","lv",2011,97.63
"477","mk",2011,96.03
"478","mt",2011,95.69
"479","nl",2011,94.23
"480","no",2011,94.1
"481","pl",2011,96.3
"482","pt",2011,96.52
"483","ro",2011,93.23
"484","rs",2011,83.9
"485","se",2011,97.74
"486","si",2011,96.25
"487","sk",2011,95.51
"488","tr",2011,72.07
"489","gb",2011,93.3
"490","us",2011,96.71
"491","at",2010,90.22
"492","be",2010,92.5
"493","bg",2010,96.27
"494","ch",2010,101.6
"495","cy",2010,95.4
"496","cz",2010,92.8
"497","de",2010,92.6
"498","dk",2010,94
"499",NA,2010,93.35
"500","ee",2010,87.97
"501","gr",2010,99.98
"502","es",2010,94.6
"503","fi",2010,90.87
"504","fr",2010,94.26
"505","hr",2010,93.01
"506","hu",2010,90.1
"507","ie",2010,96.3
"508","is",2010,86.18
"509","it",2010,93
"510","lt",2010,92.38
"511","lu",2010,91.5
"512","lv",2010,93.29
"513","mk",2010,92.87
"514","mt",2010,92.82
"515","nl",2010,92.11
"516","no",2010,92.9
"517","pl",2010,92.9
"518","pt",2010,93.43
"519","ro",2010,86.32
"520","rs",2010,74.3
"521","se",2010,96.32
"522","si",2010,94.78
"523","sk",2010,91.72
"524","tr",2010,67.85
"525","gb",2010,89.5
"526","us",2010,92.64
"527","at",2009,88.62
"528","be",2009,90.1
"529","bg",2009,93.94
"530","ch",2009,101.1
"531","cy",2009,93.43
"532","cz",2009,92
"533","de",2009,91.8
"534","dk",2009,92.5
"535",NA,2009,91.99
"536","ee",2009,85.1
"537","gr",2009,95.04
"538","es",2009,92.68
"539","fi",2009,89.74
"540","fr",2009,92.65
"541","hr",2009,92.43
"542","hu",2009,85.81
"543","ie",2009,98.3
"544","is",2009,80.06
"545","it",2009,91.7
"546","lt",2009,91.54
"547","lu",2009,89.42
"548","lv",2009,94.77
"549","mk",2009,91.79
"550","mt",2009,91.19
"551","nl",2009,91.9
"552","no",2009,91.3
"553","pl",2009,90.8
"554","pt",2009,92.38
"555","ro",2009,82.73
"556","rs",2009,71.4
"557","se",2009,94.82
"558","si",2009,92.86
"559","sk",2009,91.08
"560","tr",2009,62.61
"561","gb",2009,86.7
"562","us",2009,91.01
"563","at",2008,88.9
"564","be",2008,91.06
"565","bg",2008,91.55
"566","ch",2008,102.4
"567","cy",2008,93.32
"568","cz",2008,91.3
"569","de",2008,91.8
"570","dk",2008,91.7
"571",NA,2008,92.08
"572","ee",2008,85.54
"573","gr",2008,94.39
"574","es",2008,93.58
"575","fi",2008,88.34
"576","fr",2008,93.18
"577","hr",2008,90.68
"578","hu",2008,82.74
"579","ie",2008,100.4
"580","is",2008,68.59
"581","it",2008,91.2
"582","lt",2008,88.12
"583","lu",2008,90.31
"584","lv",2008,91.91
"585","mk",2008,92.67
"586","mt",2008,88.67
"587","nl",2008,90.66
"588","no",2008,88.2
"589","pl",2008,87.1
"590","pt",2008,93.86
"591","ro",2008,78.16
"592","rs",2008,65.7
"593","se",2008,93.37
"594","si",2008,92.71
"595","sk",2008,90.42
"596","tr",2008,59.21
"597","gb",2008,85.2
"598","us",2008,93.16
"599","at",2007,85.45
"600","be",2007,86.1
"601","bg",2007,79.79
"602","ch",2007,99.6
"603","cy",2007,88.7
"604","cz",2007,85.6
"605","de",2007,88.8
"606","dk",2007,88
"607",NA,2007,88.49
"608","ee",2007,76.74
"609","gr",2007,89.95
"610","es",2007,89.06
"611","fi",2007,84.67
"612","fr",2007,89.61
"613","hr",2007,84.51
"614","hu",2007,77.58
"615","ie",2007,96.6
"616","is",2007,60.95
"617","it",2007,87.7
"618","lt",2007,78.21
"619","lu",2007,85.73
"620","lv",2007,78.21
"621","mk",2007,85
"622","mt",2007,84.93
"623","nl",2007,88.61
"624","no",2007,85.6
"625","pl",2007,83.4
"626","pt",2007,90.78
"627","ro",2007,71.92
"628","rs",2007,57.6
"629","se",2007,89.78
"630","si",2007,86.79
"631","sk",2007,86.68
"632","tr",2007,53.53
"633","gb",2007,82
"634","us",2007,87.92
"635","at",2006,83.84
"636","be",2006,85
"637","bg",2006,75.78
"638","ch",2006,98.9
"639","cy",2006,87.22
"640","cz",2006,83.4
"641","de",2006,87.1
"642","dk",2006,86.9
"643",NA,2006,86.83
"644","ee",2006,72.4
"645","gr",2006,87.64
"646","es",2006,86.94
"647","fi",2006,83.47
"648","fr",2006,88.46
"649","hr",2006,83.37
"650","hu",2006,71.5
"651","ie",2006,94
"652","is",2006,59.15
"653","it",2006,86
"654","lt",2006,74.5
"655","lu",2006,83.84
"656","lv",2006,71.83
"657","mk",2006,83.82
"658","mt",2006,85.42
"659","nl",2006,87.01
"660","no",2006,85.1
"661","pl",2006,81.3
"662","pt",2006,88.66
"663","ro",2006,69.25
"664","rs",2006,56
"665","se",2006,88.59
"666","si",2006,83.58
"667","sk",2006,85.43
"668","tr",2006,49.29
"669","gb",2006,80.1
"670","us",2006,85.87
"671","at",2005,82.3
"672","be",2005,82.93
"673","bg",2005,69.94
"674","ch",2005,97.5
"675","cy",2005,84.98
"676","cz",2005,81.5
"677","de",2005,85.3
"678","dk",2005,85.1
"679",NA,2005,84.72
"680","ee",2005,69.34
"681","gr",2005,84.72
"682","es",2005,83.63
"683","fi",2005,82.26
"684","fr",2005,86.54
"685","hr",2005,80.09
"686","hu",2005,69.5
"687","ie",2005,91.4
"688","is",2005,55.93
"689","it",2005,84
"690","lt",2005,71.84
"691","lu",2005,80.7
"692","lv",2005,67.58
"693","mk",2005,80.86
"694","mt",2005,82.72
"695","nl",2005,85.48
"696","no",2005,83.3
"697","pl",2005,80.2
"698","pt",2005,85.63
"699","ro",2005,64.62
"700","se",2005,86.98
"701","si",2005,81.14
"702","sk",2005,81.73
"703","tr",2005,44.91
"704","gb",2005,78.1
"705","us",2005,82.09
"706","at",2004,80.68
"707","be",2004,80.75
"708","bg",2004,65.67
"709","cy",2004,83.73
"710","cz",2004,80.5
"711","de",2004,83.9
"712","dk",2004,83.7
"713",NA,2004,83.02
"714","ee",2004,67.18
"715","gr",2004,82.09
"716","es",2004,81.03
"717","fi",2004,81.44
"718","fr",2004,85.04
"719","hr",2004,78.01
"720","hu",2004,67.02
"721","ie",2004,89.6
"722","is",2004,55.74
"723","it",2004,82.2
"724","lt",2004,70.43
"725","lu",2004,78.21
"726","lv",2004,63.45
"727","mt",2004,81.04
"728","nl",2004,84.27
"729","no",2004,81.9
"730","pl",2004,79.1
"731","pt",2004,85.06
"732","ro",2004,58.89
"733","se",2004,86.29
"734","si",2004,79.77
"735","sk",2004,79.64
"736","tr",2004,41.21
"737","gb",2004,76.6
"738","us",2004,79.99
"739","at",2003,78.89
"740","be",2003,79.18
"741","bg",2003,61.22
"742","cy",2003,81.76
"743","cz",2003,78.3
"744","de",2003,82.3
"745","dk",2003,82.9
"746",NA,2003,81.07
"747","ee",2003,64.36
"748","gr",2003,79.73
"749","es",2003,78.3
"750","fi",2003,81.51
"751","fr",2003,82.83
"752","hr",2003,75.89
"753","hu",2003,62.38
"754","ie",2003,87.4
"755","is",2003,54.2
"756","it",2003,80.3
"757","lt",2003,69.72
"758","lu",2003,75.26
"759","lv",2003,59.8
"760","mt",2003,78.47
"761","nl",2003,83.04
"762","no",2003,80.9
"763","pl",2003,75.8
"764","pt",2003,82.08
"765","ro",2003,52.56
"766","se",2003,85.32
"767","si",2003,76.78
"768","sk",2003,73.62
"769","tr",2003,38.25
"770","gb",2003,75.4
"771","us",2003,77.39
"772","at",2002,78.11
"773","be",2002,77.99
"774","bg",2002,60.46
"775","cy",2002,78.84
"776","cz",2002,78.3
"777","de",2002,81.5
"778","dk",2002,81.3
"779",NA,2002,79.46
"780","ee",2002,64.07
"781","gr",2002,76.92
"782","es",2002,76.16
"783","fi",2002,80.6
"784","fr",2002,81.2
"785","hr",2002,74.19
"786","hu",2002,59.76
"787","ie",2002,84.3
"788","is",2002,53.51
"789","it",2002,78.1
"790","lt",2002,69.95
"791","lu",2002,73.77
"792","lv",2002,57.66
"793","mt",2002,76.84
"794","nl",2002,81.31
"795","no",2002,79.7
"796","pl",2002,75.3
"797","pt",2002,79.43
"798","ro",2002,46.11
"799","se",2002,83.65
"800","si",2002,72.32
"801","sk",2002,67.97
"802","tr",2002,29.29
